,EUR_NGN_1. open,EUR_NGN_2. high,EUR_NGN_3. low,EUR_NGN_4. close,TRENDS_Euro to Naira
2019-01-17,413.92,413.92,412.7,412.73,34.0
2019-01-18,414.15,414.15,412.42,412.43,34.0
2019-01-22,412.55,412.89,412.55,412.8,34.0
2019-01-23,412.03,412.59,412.03,412.59,34.0
2019-01-24,412.33,412.68,409.74,409.74,34.0
2019-01-25,412.03,412.57,412.03,412.43,34.0
2019-01-28,414.41,414.41,414.1,414.11,34.0
2019-01-29,412.58,412.76,412.56,412.73,34.0
2019-01-30,413.14,415.31,413.14,415.31,34.0
2019-01-31,414.89,414.89,414.71,414.76,34.0
2019-02-01,414.54,414.71,413.37,413.37,40.0
2019-02-04,413.34,413.34,412.69,412.71,40.0
2019-02-05,412.7,412.9,412.67,412.67,40.0
2019-02-06,412.15,412.26,410.12,410.17,40.0
2019-02-07,410.36,410.36,409.27,409.34,40.0
2019-02-08,409.76,409.87,408.61,408.61,40.0
2019-02-11,406.36,406.78,406.36,406.73,40.0
2019-02-12,409.03,409.14,409.03,409.14,40.0
2019-02-13,407.2,407.71,406.91,407.05,40.0
2019-02-14,408.21,408.42,408.07,408.1,40.0
2019-02-15,406.03,408.27,405.94,408.21,40.0
2019-02-19,408.25,409.75,408.25,409.75,40.0
2019-02-20,409.79,410.58,409.58,410.51,40.0
2019-02-21,410.08,410.08,409.52,409.52,40.0
2019-02-22,410.31,410.38,409.22,410.18,40.0
2019-02-25,410.25,410.33,410.18,410.18,40.0
2019-02-26,411.27,411.7,411.11,411.7,40.0
2019-02-27,410.91,411.12,410.74,411.0,40.0
2019-02-28,410.94,411.21,410.8,410.97,40.0
2019-03-01,410.96,411.32,410.65,410.71,37.0
2019-03-04,408.05,408.33,408.05,408.32,37.0
2019-03-05,407.76,407.76,406.96,407.44,37.0
2019-03-06,406.92,407.46,406.36,406.39,37.0
2019-03-07,405.02,405.02,404.34,404.34,37.0
2019-03-08,403.32,403.53,403.32,403.34,37.0
2019-03-11,404.07,404.41,403.74,404.19,37.0
2019-03-12,405.08,405.78,404.93,405.17,37.0
2019-03-13,406.12,407.14,406.12,407.1,37.0
2019-03-14,406.39,406.39,406.07,406.19,37.0
2019-03-15,407.95,408.02,407.95,407.96,37.0
2019-03-18,408.05,408.05,407.84,407.92,37.0
2019-03-19,409.23,409.24,408.48,408.53,37.0
2019-03-20,408.46,408.66,408.46,408.66,37.0
2019-03-21,408.87,409.02,408.83,408.85,37.0
2019-03-22,405.44,405.64,405.44,405.62,37.0
2019-03-25,406.98,407.16,406.54,406.63,37.0
2019-03-26,406.4,406.4,406.1,406.12,37.0
2019-03-28,403.58,403.7,403.3,403.61,37.0
2019-03-29,403.78,404.02,403.61,404.02,37.0
2019-04-01,403.91,403.94,403.82,403.86,36.0
2019-04-02,402.8,402.94,402.73,402.73,36.0
2019-04-03,405.32,405.32,404.34,404.53,36.0
2019-04-04,403.84,403.84,403.76,403.76,36.0
2019-04-05,404.32,404.32,404.13,404.18,36.0
2019-04-08,405.55,405.72,405.24,405.28,36.0
2019-04-09,405.49,405.49,405.36,405.48,36.0
2019-04-10,405.09,405.78,405.09,405.71,36.0
2019-04-11,405.76,405.78,405.57,405.61,36.0
2019-04-12,406.83,406.95,406.78,406.88,36.0
2019-04-15,406.76,406.94,406.76,406.94,36.0
2019-04-16,406.14,406.25,406.14,406.24,36.0
2019-04-17,406.72,406.76,406.67,406.67,36.0
2019-04-18,404.63,404.68,404.52,404.59,36.0
2019-04-19,404.67,404.71,404.64,404.71,36.0
2019-04-22,405.22,405.25,405.21,405.24,36.0
2019-04-23,403.21,404.45,402.86,404.41,36.0
2019-04-24,404.42,404.46,402.74,402.87,36.0
2019-04-25,401.7,401.78,401.43,401.43,36.0
2019-04-26,401.47,401.98,401.12,401.75,36.0
2019-04-29,402.66,402.97,402.66,402.97,36.0
2019-05-02,403.06,403.1,402.91,403.1,36.0
2019-05-03,402.91,403.0,402.91,402.98,36.0
2019-05-06,402.73,402.79,402.64,402.78,36.0
2019-05-07,402.57,402.61,402.53,402.61,36.0
2019-05-08,403.18,403.23,402.22,402.22,36.0
2019-05-09,404.67,404.83,403.45,403.65,36.0
2019-05-13,405.28,405.28,404.19,404.24,36.0
2019-05-14,403.17,403.17,402.89,403.04,36.0
2019-05-15,402.74,403.87,402.5,403.86,36.0
2019-05-16,403.01,403.01,402.89,402.89,36.0
2019-05-17,402.37,402.37,402.13,402.14,36.0
2019-05-20,401.92,402.06,401.25,401.25,36.0
2019-05-22,402.38,402.97,401.78,402.87,36.0
2019-05-23,400.0,401.88,400.0,401.85,36.0
2019-05-24,402.96,403.24,402.77,403.24,36.0
2019-05-28,402.67,402.86,401.09,401.22,36.0
2019-05-29,401.35,401.35,400.68,400.76,36.0
2019-05-30,399.99,400.57,399.63,400.5,36.0
2019-05-31,402.1,402.1,401.94,402.04,36.0
2019-06-03,403.57,403.69,403.57,403.63,36.0
2019-06-04,404.14,404.72,404.14,404.5,36.0
2019-06-05,404.14,404.14,403.74,403.74,36.0
2019-06-06,405.81,405.81,405.24,405.37,36.0
2019-06-07,407.66,407.94,407.66,407.94,36.0
2019-06-10,407.01,407.25,406.99,407.23,36.0
2019-06-11,407.7,407.7,407.68,407.68,36.0
2019-06-12,407.68,407.68,406.37,406.4,36.0
2019-06-13,405.32,406.03,405.12,405.92,36.0
2019-06-14,403.81,403.95,403.81,403.91,36.0
2019-06-17,405.37,405.52,405.37,405.4,36.0
2019-06-18,404.22,404.25,402.89,402.9,36.0
2019-06-19,403.83,404.18,403.79,403.95,36.0
2019-06-20,406.66,406.89,405.8,405.8,36.0
2019-06-21,408.02,409.27,407.46,409.14,36.0
2019-06-24,409.55,409.72,409.49,409.49,36.0
2019-06-25,409.01,409.01,409.01,409.01,36.0
2019-06-26,409.04,409.38,407.95,409.36,36.0
2019-06-27,408.23,408.62,408.23,408.44,36.0
2019-06-28,409.37,409.39,408.65,408.66,36.0
2019-07-01,408.31,408.31,407.79,407.87,41.0
2019-07-02,406.11,406.37,406.06,406.31,41.0
2019-07-03,406.32,406.32,405.3,406.1,41.0
2019-07-05,403.09,403.81,402.85,403.78,41.0
2019-07-08,403.81,403.81,403.67,403.67,41.0
2019-07-09,402.95,403.44,402.76,402.78,41.0
2019-07-10,404.89,405.09,404.73,405.08,41.0
2019-07-11,404.6,404.62,404.54,404.62,41.0
2019-07-12,404.79,405.05,404.77,405.04,41.0
2019-07-15,405.29,405.29,404.72,404.76,41.0
2019-07-16,403.72,403.74,403.62,403.65,41.0
2019-07-17,403.55,403.94,403.38,403.94,41.0
2019-07-18,403.06,405.87,403.06,405.82,41.0
2019-07-19,403.28,404.4,403.19,403.84,41.0
2019-07-22,403.37,403.37,403.05,403.05,41.0
2019-07-23,403.27,403.27,400.68,400.68,41.0
2019-07-24,400.97,401.05,400.3,400.37,41.0
2019-07-25,400.95,400.95,400.47,400.64,41.0
2019-07-26,400.34,400.34,399.89,399.92,41.0
2019-07-29,400.28,400.36,400.18,400.18,41.0
2019-07-30,400.7,401.56,400.58,401.53,41.0
2019-07-31,400.09,400.28,400.09,400.28,41.0
2019-08-01,397.34,398.34,397.34,398.34,41.0
2019-08-02,399.27,401.52,399.27,401.5,41.0
2019-08-05,405.92,405.92,405.71,405.71,41.0
2019-08-06,406.84,407.0,406.84,407.0,41.0
2019-08-08,405.9,406.22,405.81,405.87,41.0
2019-08-09,406.28,406.28,406.05,406.11,41.0
2019-08-29,400.7,400.72,400.67,400.72,41.0
2019-08-30,401.23,401.32,398.32,398.32,41.0
2019-09-13,400.54,400.66,399.94,400.01,41.0
2019-09-16,397.75,397.78,396.39,396.49,41.0
2019-09-17,397.25,397.37,397.17,397.17,41.0
2019-09-18,397.75,397.97,397.31,397.43,41.0
2019-09-19,397.0,397.0,396.75,396.75,41.0
2019-09-20,396.88,396.88,396.45,396.53,41.0
2019-09-23,397.14,397.17,397.0,397.17,41.0
2019-09-24,396.85,397.35,396.85,397.33,41.0
2019-09-25,396.38,396.38,394.17,394.44,41.0
2019-09-26,395.49,395.68,395.47,395.68,41.0
2019-09-27,394.61,396.46,394.58,396.46,41.0
2019-09-30,394.29,394.45,393.89,394.12,41.0
2019-10-01,393.97,395.76,393.97,395.73,42.0
2019-10-02,395.11,396.12,394.99,396.09,42.0
2019-10-03,397.22,397.22,395.68,395.81,42.0
2019-10-04,396.35,396.87,396.22,396.81,42.0
2019-10-07,397.81,397.96,397.81,397.96,42.0
2019-10-08,396.76,396.76,394.82,394.84,42.0
2019-10-09,396.87,396.91,395.27,395.53,42.0
2019-10-10,398.72,398.81,398.63,398.63,42.0
2019-10-11,399.08,399.08,398.37,398.37,42.0
2019-10-15,399.24,399.69,398.73,398.74,42.0
2019-10-16,400.04,400.17,399.78,400.17,42.0
2019-10-17,402.54,402.67,402.53,402.63,42.0
2019-10-18,403.98,404.37,403.98,404.23,42.0
2019-10-21,403.81,404.28,402.86,402.91,42.0
2019-10-22,402.97,403.0,402.9,402.94,42.0
2019-10-23,402.32,402.32,402.29,402.3,42.0
2019-10-24,402.36,402.38,402.32,402.35,42.0
2019-10-25,400.77,400.77,400.41,400.42,42.0
2019-10-28,400.78,401.01,400.78,401.01,42.0
2019-10-29,401.57,401.66,400.4,400.52,42.0
2019-10-30,401.42,404.23,401.42,404.17,42.0
2019-10-31,404.52,404.57,404.31,404.31,42.0
2019-11-05,401.21,401.28,401.08,401.19,42.0
2019-11-06,400.47,400.59,400.41,400.41,42.0
2019-11-07,400.71,400.71,399.68,399.74,42.0
2019-11-08,398.26,398.93,398.21,398.86,42.0
2019-11-11,398.81,398.91,398.79,398.91,42.0
2019-11-12,397.43,397.51,397.43,397.51,42.0
2019-11-13,397.62,397.62,397.49,397.56,42.0
2019-11-14,397.94,397.94,397.8,397.9,42.0
2019-11-15,399.37,399.51,399.37,399.42,42.0
2019-11-18,401.46,401.46,401.32,401.35,42.0
2019-11-19,400.31,400.47,400.31,400.47,42.0
2019-11-20,400.94,401.0,400.86,400.91,42.0
2019-11-21,400.84,400.87,400.72,400.72,42.0
2019-11-22,399.6,399.6,399.17,399.17,42.0
2019-11-25,398.93,398.93,398.91,398.92,42.0
2019-11-26,398.98,399.49,398.98,399.47,42.0
2019-11-27,398.65,398.76,398.65,398.75,42.0
2019-11-29,399.21,399.63,399.21,399.42,42.0
2019-12-02,400.95,401.04,400.92,400.92,42.0
2019-12-03,401.66,401.66,401.59,401.6,42.0
2019-12-04,400.36,400.36,400.36,400.36,42.0
2019-12-05,400.36,402.45,400.36,402.45,42.0
2019-12-06,399.05,400.8,399.05,400.67,42.0
2019-12-09,400.98,401.01,399.86,399.87,42.0
2019-12-10,401.76,401.88,401.75,401.88,42.0
2019-12-11,400.71,400.89,400.71,400.88,42.0
2019-12-12,403.27,403.9,402.07,402.18,42.0
2019-12-13,404.56,404.56,402.7,402.71,42.0
2019-12-16,403.7,403.93,403.7,403.77,42.0
2019-12-17,404.27,404.3,404.17,404.26,42.0
2019-12-18,402.81,402.89,401.63,401.63,42.0
2019-12-19,403.06,403.2,401.99,402.01,42.0
2019-12-20,401.71,401.83,401.31,401.4,42.0
2019-12-23,400.9,400.95,400.89,400.92,42.0
2019-12-24,401.68,401.72,401.63,401.72,42.0
2019-12-26,401.05,401.13,401.05,401.06,42.0
2019-12-27,404.96,405.07,404.92,405.06,42.0
2019-12-30,405.09,405.16,404.96,404.96,42.0
2019-12-31,406.72,406.88,406.72,406.74,42.0
2020-01-02,404.88,404.94,403.73,403.75,42.0
2020-01-03,403.73,404.62,403.24,403.27,42.0
2020-01-06,405.34,405.37,405.19,405.36,42.0
2020-01-07,403.67,404.1,403.67,404.0,42.0
2020-01-08,401.64,402.67,401.54,402.67,42.0
2020-01-09,402.63,402.63,401.0,402.5,42.0
2020-01-10,402.01,403.19,401.95,401.95,42.0
2020-01-13,403.19,403.56,403.19,403.56,42.0
2020-01-14,402.98,403.24,402.85,403.22,42.0
2020-01-15,403.26,404.15,403.18,404.03,42.0
2020-01-16,402.39,402.39,402.24,402.24,42.0
2020-01-20,400.55,401.64,400.54,401.62,42.0
2020-01-21,401.42,401.45,401.4,401.43,42.0
2020-01-22,401.36,401.87,401.36,401.43,42.0
2020-01-23,398.92,400.14,398.86,399.59,42.0
2020-01-24,398.49,399.63,398.4,399.53,42.0
2020-01-27,399.35,399.36,398.04,399.35,42.0
2020-01-28,397.57,399.5,397.56,399.4,42.0
2020-01-29,397.31,398.85,397.31,398.85,42.0
2020-01-30,398.71,398.82,398.71,398.79,42.0
2020-01-31,400.48,400.92,400.48,400.84,42.0
2020-02-04,401.01,401.22,401.01,401.07,42.0
2020-02-05,400.66,400.66,399.76,399.88,42.0
2020-02-06,398.35,398.54,398.22,398.5,42.0
2020-02-07,398.51,398.69,398.42,398.69,42.0
2020-02-10,397.34,397.47,397.2,397.2,42.0
2020-02-11,396.19,396.24,396.0,396.13,42.0
2020-02-12,395.35,395.35,395.12,395.23,42.0
2020-02-13,393.9,393.97,393.35,393.91,42.0
2020-02-14,394.01,394.1,393.86,393.86,42.0
2020-02-17,393.15,393.32,393.15,393.32,42.0
2020-02-18,392.33,392.33,392.17,392.17,42.0
2020-02-19,392.17,392.17,391.98,391.98,42.0
2020-02-20,392.06,392.5,392.06,392.5,42.0
2020-02-21,394.28,394.58,394.28,394.58,42.0
2020-02-24,395.13,395.15,394.31,394.31,42.0
2020-02-25,395.96,397.09,395.96,397.08,42.0
2020-02-26,397.28,397.9,397.28,397.85,42.0
